Libellé,# Echantillons,Moyenne,Médiane,90% centile,95% centile,99% centile,Min,Max,% Erreur,Débit,Ko/sec reçus,Ko/sec émis
https://www.google.com/search?q=yahoo&rlz=1C1GCEU_frTN1002TN1002&oq=&aqs=chrome.2.69i59i450l7.197228546j0j15&sourceid=chrome&ie=UTF-8,5,1173,1187,1232,1258,1258,1092,1258,"0,000%","2,43902","884,64","11,12"
https://www.google.com/complete/search?q=yahoo&cp=0&client=desktop-gws-wiz-on-focus-serp&xssi=t&hl=fr-TN&authuser=0&pq=yahoo&psi=tHyjYt-uGMiN9u8P3_ycoAU.1654881461299&ofp=GL2TtPrJhd_vORin2OW89ODXgQwY7amjy6iWra46GKSnyIm70JjkxwEYraWxtdjz-KRzEAEyiAEKDAoKeWFob28gbWFpbAoOCgx5YWhvbyBmcmFuY2UKDQoLeWFob28gbG9naW4KEgoQeWFob28gYWN0dWFsaXTDqQoPCg15YWhvbyBmaW5hbmNlChYKFHlhaG9vIG1haWwgY29ubmV4aW9uCgoKCHlhaG9vIGJyCg4KDHlhaG9vIHBlb3BsZRBHMpEBChkKF0NvbW1lbnQgw6ljcmlyZSBZYWhvbyA_Ch4KHEVzdC1jZSBxdWUgWWFob28gZnIgZXhpc3RlID8KKAomQ29tbWVudCBvdXZyaXIgdW5lIHNlc3Npb24gc3VyIFlhaG9vID8KJwolQ29tbWVudCBhY2PDqWRlciDDoCB1biBjb21wdGUgWWFob28gPxDkAg&dpr=1,5,81,81,83,86,86,77,86,"0,000%","5,58036","7,31","8,90"
https://www.google.com/complete/search?q&cp=0&client=gws-wiz&xssi=t&hl=fr-TN&authuser=0&pq=yahoo&psi=tHyjYt-uGMiN9u8P3_ycoAU.1654881461299&ofp=GL2TtPrJhd_vORin2OW89ODXgQwY7amjy6iWra46GKSnyIm70JjkxwEYraWxtdjz-KRz&nolsbt=1&dpr=1,5,146,137,158,178,178,123,178,"0,000%","5,10725","6,69","6,13"
https://www.google.com/xjs/_/js/md=1/k=xjs.s.fr.bVldiqbSq6I.O/am=AqAKAC4AAAAAzAABAAAAAAAAAEAAEv8fAQAIQkQgCQAAAAiBAAAABoAQQAEhAAAAgI98A5DzNwAw0IQLAAAAAAAAABDAJQRDF0gUBIAAAAAAACBWU1cvc4JA/rs=ACT90oHph8RKWyl3clWdVVuCNnjT5kd0lg,5,111,112,112,113,113,110,113,"0,000%","5,24659","541,91","6,28"
https://www.google.com/async/bgasy?ei=tHyjYt-uGMiN9u8P3_ycoAU&rlz=1C1GCEU_frTN1002TN1002&yv=3&cs=0&async=_fmt:jspb,5,77,78,78,84,84,71,84,"0,000%","5,44070","43,20","5,94"
https://play.google.com/log?format=json&hasfast=true&authuser=0,5,238,244,244,248,248,227,248,"0,000%","4,57457","5,18","5,56"
https://overview.mail.yahoo.com/,5,1106,1101,1202,1226,1226,975,1226,"0,000%","1,08530","3350,35","3,87"
https://geo.query.yahoo.com/v1/public/yql?yhlVer=2&yhlClient=rapid&yhlS=1197802296&yhlCT=2&yhlBTMS=1654881464427&yhlClientVer=3.41.3&yhlRnd=olAMzeCJlZ5vgiOt&yhlCompressed=0,5,260,255,278,287,287,239,287,"0,000%","1,33476","1,28","1,60"
https://mail.yahoo.com/,5,542,527,564,607,607,501,607,"0,000%","1,32380","203,80","4,90"
https://udc.yahoo.com/v2/public/yql?yhlVer=2&yhlClient=rapid&yhlS=794200018&yhlCT=2&yhlBTMS=1654881466721&yhlClientVer=3.53.30&yhlRnd=Dcb77LBTnLYGQm0R&yhlCompressed=0,5,275,271,286,292,292,261,292,"0,000%","1,40056","0,82","4,24"
https://login.yahoo.com/logads?delay=2489&spid=794200018,5,263,251,251,327,327,244,327,"0,000%","1,40726","0,77","0,98"
https://login.yahoo.com/?.src=ym&pspid=159600001&activity=mail-direct&.lang=en-JO&.intl=jo&.done=https%3A%2F%2Fmail.yahoo.com%2Fd,5,273,275,280,292,292,258,292,"0,000%","1,42613","2,98","3,36"
https://login.yahoo.com/account/challenge/password?pspid=159600001&activity=mail-direct&.lang=en-JO&.intl=jo&src=ym&done=https%3A%2F%2Fmail.yahoo.com%2Fd&sessionIndex=QQ--&acrumb=AM9xWVvD&display=login&authMechanism=primary,10,764,644,937,937,947,593,947,"0,000%",",91516","359,17","5,83"
https://udc.yahoo.com/v2/public/yql?yhlVer=2&yhlClient=rapid&yhlS=794200019&yhlCT=2&yhlBTMS=1654881478954&yhlClientVer=3.53.30&yhlRnd=iUXOhsPvBjMftQyh&yhlCompressed=0,5,219,247,263,277,277,74,277,"0,000%",",65694","0,38","2,25"
https://udc.yahoo.com/v2/public/yql?yhlVer=2&yhlClient=rapid&yhlS=794200015&yhlCT=2&yhlBTMS=1654881481270&yhlClientVer=3.53.30&yhlRnd=Kuu3YxhtA32iDxPO&yhlCompressed=0,5,64,65,68,70,70,59,70,"0,000%",",62625","0,37","2,24"
https://login.yahoo.com/logads?delay=1528&spid=794200015,5,257,254,255,282,282,245,282,"0,000%",",60968","0,26","0,44"
https://login.yahoo.com/account/challenge/phone-obfuscation?pspid=159600001&activity=mail-direct&.lang=en-JO&.intl=jo&src=ym&done=https%3A%2F%2Fmail.yahoo.com%2Fd&acrumb=AM9xWVvD&display=login&authMechanism=primary&sessionIndex=QQ--&eid=3650,5,684,630,658,918,918,588,918,"0,000%",",21023","3,17","1,52"
https://udc.yahoo.com/v2/public/yql?yhlVer=2&yhlClient=rapid&yhlS=794200015&yhlCT=2&yhlBTMS=1654881499397&yhlClientVer=3.53.30&yhlRnd=57dFnXiUj2pZyn5j&yhlCompressed=0,5,267,276,280,286,286,236,286,"0,000%",",21340","0,13","0,77"
https://login.yahoo.com/logads?delay=1581&spid=794200015,5,268,261,283,287,287,254,287,"0,000%",",21339","0,09","0,15"
https://login.yahoo.com/account/challenge/phone-verify?pspid=159600001&activity=mail-direct&.lang=en-JO&.intl=jo&src=ym&done=https%3A%2F%2Fmail.yahoo.com%2Fd&acrumb=AM9xWVvD&display=login&authMechanism=primary&sessionIndex=QQ--,10,624,619,672,672,685,545,685,"0,000%",",33410","5,04","2,45"
https://udc.yahoo.com/v2/public/yql?yhlVer=2&yhlClient=rapid&yhlS=794200015&yhlCT=2&yhlBTMS=1654881501943&yhlClientVer=3.53.30&yhlRnd=VAQGquEObFrhJ7UC&yhlCompressed=0,5,67,69,69,73,73,61,73,"0,000%",",22811","0,13","0,82"
https://login.yahoo.com/logads?delay=1558&spid=794200015,5,259,270,275,303,303,190,303,"0,000%",",22686","0,10","0,16"
https://udc.yahoo.com/v2/public/yql?yhlVer=2&yhlClient=rapid&yhlS=794200015&yhlCT=2&yhlBTMS=1654881508328&yhlClientVer=3.53.30&yhlRnd=CP2PRTxqRYS3pTVT&yhlCompressed=0,5,68,67,71,80,80,59,80,"0,000%",",21434","0,13","0,77"
https://login.yahoo.com/logads?delay=1501&spid=794200015,5,258,251,255,292,292,244,292,"0,000%",",21276","0,09","0,15"
Test,5,9744,9847,9853,9870,9870,9527,9870,"0,000%",",07458","339,90","6,02"
TOTAL,135,721,263,975,1226,9853,59,9870,"0,000%","2,01363","679,80","12,05"
